iter	PRAUC	Logloss
0	0.9394482017	0.6203745621
1	0.9407532233	0.5677954062
2	0.9404976081	0.524100825
3	0.940354077	0.4872610021
4	0.9410059967	0.4581540225
5	0.9698792992	0.420139844
6	0.9736419427	0.3898801267
7	0.9746529401	0.3676152521
8	0.9753880781	0.3458992219
9	0.9760276279	0.3278386278
10	0.9761969896	0.3116945857
11	0.9762733892	0.299790898
12	0.9767805354	0.2881030782
13	0.9768706115	0.2786688368
14	0.9772339994	0.2704489985
15	0.9779960428	0.2626879834
16	0.9780203717	0.2553795496
17	0.9785389344	0.2470057769
18	0.9785264208	0.2421786947
19	0.9791346219	0.2365110418
20	0.9794267728	0.2320327727
21	0.9797045497	0.2278793749
22	0.9799870236	0.2236204225
23	0.9801454839	0.2196416211
24	0.9802110434	0.2165764941
25	0.9814109834	0.211340251
26	0.9819865508	0.2068726596
27	0.9825301141	0.20245452
28	0.9828673196	0.1991157461
29	0.9831140783	0.195971035
30	0.9833257763	0.1931931361
31	0.9833490731	0.192027716
32	0.9833712886	0.1909113561
33	0.9836983854	0.1881975016
34	0.9838795622	0.1857137185
35	0.9840278848	0.1835616439
36	0.9841576364	0.1814763352
37	0.984183086	0.1806341935
38	0.9843064574	0.1790340462
39	0.9843301199	0.1782076431
40	0.9843498206	0.1775551667
41	0.9843750993	0.1768137475
42	0.9844213372	0.1761323043
43	0.9845373142	0.1747553714
44	0.984575466	0.174109888
45	0.9846034316	0.1735401642
46	0.984618107	0.1729714658
47	0.9847163594	0.1717596406
48	0.9848740668	0.1703355537
49	0.9849073454	0.1699414416
50	0.9849311451	0.1696115514
51	0.9849817555	0.1691063598
52	0.9850176385	0.1686959772
53	0.9850350006	0.1685026
54	0.9850702966	0.1679474242
55	0.9851448475	0.1674158738
56	0.985167081	0.1672564284
57	0.985180204	0.1669189358
58	0.9852205013	0.166509329
59	0.9853550286	0.1653071897
60	0.9853818902	0.164930928
61	0.9854895827	0.1638882328
62	0.9855201199	0.1636570191
63	0.985599122	0.1628214667
64	0.985675057	0.1620877224
65	0.9857524009	0.1613755018
66	0.9857782119	0.1611874018
67	0.985812755	0.16086646
68	0.9858685324	0.1602252064
69	0.9859081962	0.1598248536
70	0.9859570936	0.1595223895
71	0.9859732805	0.1593988682
72	0.9860015521	0.1591407812
73	0.9860331575	0.1589202317
74	0.9860555041	0.1587747766
75	0.9860748101	0.1585961762
76	0.9860865245	0.1585099821
77	0.9861080054	0.1583498336
78	0.986166161	0.1579819883
79	0.9861763296	0.1579232111
80	0.9862348081	0.1574559053
81	0.9862561261	0.1573159888
82	0.9863011656	0.1568106657
83	0.9863268286	0.1565740872
84	0.9863859847	0.1559944518
85	0.9863894729	0.1559272904
86	0.9864344052	0.1555216727
87	0.9864524561	0.1553827232
88	0.9864796995	0.1550627401
89	0.9865079907	0.1547569773
90	0.9865165603	0.1546503398
91	0.9865273744	0.1545569583
92	0.9865624953	0.1542671204
93	0.9865743652	0.1542062513
94	0.986583696	0.1541421026
95	0.9866022539	0.153953747
96	0.9866509723	0.1536716761
97	0.9866542267	0.1536179629
98	0.9866569263	0.1535625383
99	0.9866684388	0.1534609292
100	0.9866936059	0.1532408504
101	0.9867058228	0.1531234046
102	0.9867378198	0.1528201888
103	0.9867558955	0.1526578573
104	0.9867653199	0.1525822775
105	0.9867735016	0.1525435667
106	0.9867907097	0.1524369192
