iter	Passed	Remaining
0	523	784667
1	999	748404
2	1492	744984
3	1945	727622
4	2385	713410
5	2768	689363
6	3457	737460
7	4257	794061
8	4959	821635
9	5811	865914
10	6147	832098
11	6655	825327
12	7005	801373
13	7838	832028
14	8188	810640
15	8496	788087
16	9292	810643
17	10307	848626
18	10779	840199
19	12048	891596
20	12806	901935
21	13554	910642
22	14631	939584
23	15910	978498
24	16432	969545
25	17243	977575
26	18790	1025128
27	19513	1025846
28	20025	1015761
29	21319	1044662
30	21693	1028009
31	22237	1020132
32	23316	1036532
33	23690	1021487
34	24243	1014754
35	25398	1032859
36	25915	1024704
37	26958	1037189
38	28296	1060025
39	29138	1063573
40	29735	1058151
41	30680	1065056
42	31131	1054848
43	32749	1083710
44	33362	1078713
45	34047	1076208
46	34713	1073164
47	36170	1094168
48	37560	1112237
49	38526	1117269
50	39055	1109634
51	39841	1109434
52	40349	1101629
53	41262	1104928
54	41724	1096207
55	42473	1095217
56	42991	1088353
57	43536	1082411
58	44360	1083459
59	45880	1101130
60	46695	1101544
61	48164	1117095
62	48854	1114346
63	49139	1102561
64	49455	1091829
65	50777	1103259
66	51398	1099321
67	51955	1094120
68	53456	1108633
69	54046	1104098
70	55123	1109457
71	55616	1103058
72	56130	1097242
73	57018	1098768
74	57720	1096698
75	58411	1094440
76	58956	1089542
77	59699	1088373
78	60753	1092793
79	61753	1096117
80	63075	1104994
81	64011	1106932
82	65176	1112718
83	66301	1117652
84	68160	1134679
85	68857	1132138
86	70038	1137515
87	70769	1135531
88	71130	1127701
89	72568	1136900
90	73375	1136103
91	74118	1134333
92	74710	1130299
93	75495	1129212
94	76400	1129926
95	77401	1131997
96	78500	1135426
97	79616	1138998
98	80147	1134203
99	80736	1130304
100	82507	1142857
101	83125	1139313
102	84623	1147752
103	86027	1154748
104	86801	1153222
105	87786	1154479
106	88493	1152066
107	89209	1149809
108	90952	1160687
109	91176	1152138
110	91750	1148121
111	92888	1151148
112	93727	1150441
113	94208	1145379
114	94743	1141042
115	95445	1138758
116	96001	1134784
117	96236	1127106
118	97137	1127283
119	97500	1121254
120	98600	1123716
121	99123	1119604
122	99668	1115795
123	100283	1112820
124	100934	1110282
125	101688	1108886
126	103516	1119115
127	104379	1118821
128	105017	1116111
129	106215	1119349
130	107013	1118331
131	107528	1114389
132	108440	1114570
133	109199	1113187
134	109724	1109438
135	110659	1109854
136	111471	1109019
137	112999	1115252
138	113727	1113551
139	114537	1112649
140	115612	1114308
141	116092	1110239
142	117286	1112987
143	117974	1110930
144	118531	1107654
145	119131	1104825
146	120215	1106474
147	120938	1104787
148	121528	1101909
149	122074	1098668
150	124372	1111116
151	125209	1110414
152	126769	1116068
153	127038	1110346
154	127905	1109890
155	128571	1107692
156	129263	1105735
157	130842	1111333
158	132292	1115751
159	133212	1115653
160	134178	1115928
161	134883	1114039
162	136523	1119824
163	137097	1116840
164	137730	1114365
165	138547	1113384
166	139205	1111143
167	140042	1110339
168	140585	1107217
169	141404	1106284
170	142026	1103816
171	143204	1105670
172	144502	1108410
173	146118	1113522
174	146902	1112264
175	147662	1110827
176	148107	1107040
177	149951	1113683
178	150324	1109379
179	150894	1106559
180	151478	1103866
181	152091	1101411
182	153199	1102530
183	154332	1103813
184	155202	1103193
185	156103	1102796
186	157106	1103108
187	158901	1108928
188	159718	1107888
189	161235	1111677
190	161703	1108216
191	162166	1104761
192	162692	1101760
193	163332	1099549
194	163875	1096707
195	164584	1094993
196	164838	1090275
197	166639	1095780
198	167283	1093644
199	169048	1098817
200	169749	1097036
201	170604	1096263
202	171158	1093557
203	171735	1091027
204	173361	1095134
205	174143	1093891
206	175668	1097294
207	176245	1094758
208	177026	1093500
209	178717	1097836
210	179102	1094136
211	179648	1091447
212	179916	1087098
213	180130	1082466
214	180418	1078312
215	181026	1076101
216	182044	1076328
217	182420	1072763
218	183313	1072259
219	183860	1069731
220	184644	1068598
221	185338	1066950
222	187058	1071180
223	187932	1070543
224	188861	1070213
225	189644	1069058
226	190808	1070042
227	191549	1068643
228	192474	1068274
229	193051	1065981
230	193706	1064128
231	195076	1066193
232	195769	1064546
233	197159	1066681
234	197831	1064922
235	198061	1060804
236	198879	1059852
237	199793	1059408
238	200354	1057098
239	201646	1058642
240	203506	1063130
241	204892	1065103
242	205500	1063023
243	206096	1060892
244	206612	1058361
245	208271	1061677
246	208782	1059129
247	209650	1058396
248	210906	1059616
249	211962	1059814
250	212350	1056676
251	212893	1054328
252	214663	1058042
253	216027	1059726
254	216821	1058599
255	217633	1057561
256	218583	1057195
257	219204	1055239
258	220471	1056389
259	220693	1052537
260	221191	1050025
261	222660	1052111
262	223757	1052425
263	225714	1056753
264	226774	1056856
265	227372	1054801
266	228018	1052983
267	228552	1050659
268	229131	1048553
269	229790	1046823
270	231487	1049808
271	232369	1049081
272	233287	1048512
273	234259	1048183
274	234932	1046517
275	236543	1049018
276	237004	1046412
277	237860	1045558
278	239083	1046310
279	239651	1044195
280	240243	1042194
281	241391	1042606
282	242271	1041852
283	242913	1040081
284	243715	1038998
285	245223	1040914
286	246076	1040036
287	246851	1038833
288	247445	1036875
289	248036	1034912
290	248759	1033504
291	249305	1031371
292	249866	1029312
293	250348	1026939
294	251010	1025314
295	251816	1024279
296	252374	1022244
297	252902	1020098
298	253530	1018360
299	254265	1017062
300	254804	1014984
301	255752	1014542
302	256227	1012226
303	256707	1009942
304	257275	1008014
305	258334	1008012
306	258830	1005813
307	259443	1004080
308	261243	1006928
309	262324	1006985
310	263211	1006298
311	263996	1005219
312	264526	1003173
313	265005	1000945
314	266904	1004069
315	267449	1002088
316	268181	1000814
317	268842	999280
318	269556	997950
319	270614	997892
320	272086	999347
321	272645	997442
322	274478	1000190
323	275228	998977
324	276095	998191
325	276663	996329
326	277936	997000
327	278772	996100
328	279558	995023
329	280060	992940
330	280940	992202
331	281501	990343
332	282662	990591
333	284010	991487
334	284831	990533
335	285557	989251
336	286174	987600
337	287230	987460
338	287765	985534
339	288516	984348
340	289102	982609
341	289664	980793
342	290908	981287
343	291946	981075
344	292596	979561
345	293130	977667
346	293771	976135
347	294764	975773
348	295862	975751
349	296655	974726
350	297375	973460
351	298337	972987
352	299187	972146
353	299829	970635
354	300780	970124
355	301360	968415
356	302073	967144
357	302710	965629
358	303558	964791
359	304140	963111
360	304938	962117
361	305590	960667
362	306174	959007
363	307971	961140
364	308852	960402
365	309357	958500
